selected_debate_id,convergence_rate
17,0.242274134942796
32,0.315152603675146
8,0.302899604968261
5,0.434165005491581
2,0.237361575102434
12,0.351663137196098
25,0.354995897872374
33,0.128384046637453
29,0.148643451075535
22,0.276055985143874
14,0.327288480441086
19,0.268643874751404
4,0.167252513894811
34,0.272776409327518
18,0.285725103795063
13,0.245127289366908
13,0.257993234437425
20,0.477225343930535
11,0.29697406513989
29,0.282322331525385
26,0.495167744671926
10,0.29433104182221
25,0.34941714827437
7,0.488294168217108
44,0.497346664962824
11,0.382699603585526
28,0.400116383592598
20,0.26378015582636
38,0.421495032644365
32,0.344249484177213
22,0.176872259992175
13,0.312330596162472
9,0.406541556038894
35,0.247382415662985
35,0.213620796132367
27,0.117644060142338
17,0.185511774519458
37,0.118889054793864
32,0.472000930698123
9,0.423409744491335
11,0.433627867442556
32,0.173375485371333
18,0.454231559329666
33,0.479356447714847
5,0.125668801955879
34,0.202140977955423
40,0.267403170236852
41,0.387985888032243
37,0.274099076871295
11,0.397573854705319
42,0.334732882889919
15,0.100159945824649
1,0.490356027629226
7,0.123007897424046
25,0.200682642567903
27,0.16816506236326
31,0.206791321279947
40,0.492343486811966
9,0.475540409518871
27,0.141630162990186
21,0.362729342055973
42,0.114074739929754
5,0.343358026831411
23,0.482051053396892
21,0.280605775249191
18,0.427375215163454
36,0.457632956277579
36,0.189478063371032
10,0.369658501646947
28,0.416549090727232
39,0.232183289389592
14,0.356553710144945
36,0.443928305140231
17,0.235708729492966
15,0.132770347209182
34,0.336409877405968
34,0.329776110380888
27,0.429173917313572
43,0.113059784917161
2,0.390032320961822
31,0.465858701365069
24,0.394402161232196
37,0.321307533364743
10,0.151624609657098
10,0.271770265303087
19,0.265812096223235
19,0.170846927301958
31,0.193418075806927
16,0.108036728167441
12,0.214980126906186
35,0.437625705375802
15,0.134735791895539
4,0.380302676342893
3,0.415333410315681
11,0.441165479473304
43,0.162121564449742
22,0.316240474257153
17,0.447761528229807
9,0.322674989994615
41,0.254063943256158
23,0.217372980702203
23,0.152636989176273
34,0.311602859167382
35,0.121645434783306
22,0.438748338775709
30,0.388193267486058
2,0.319986089560669
39,0.371563646130264
37,0.239509730907157
7,0.106088294135872
26,0.405731001628097
3,0.228753632833716
13,0.384728822163306
41,0.209700934961438
35,0.448608955581207
4,0.469689669248648
44,0.165459263328929
40,0.18043996635545
27,0.155504075082485
7,0.230835554203484
41,0.461597647115588
23,0.204770383186638
24,0.105251487274189
18,0.360170756914653
39,0.161229124314617
29,0.409834114266094
43,0.399134238932282
16,0.309714894848876
38,0.186112764450721
6,0.374701089546084
27,0.377612870327663
36,0.259425373109989
21,0.182149913502391
6,0.412314335650299
21,0.278347035492305
43,0.225042627692688
30,0.126566004692111
14,0.147174556248356
19,0.372403990417719
39,0.15689628622774
30,0.131429509621114
4,0.347773132241797
29,0.325101233443711
8,0.190341396510601
6,0.484507641592994
40,0.199269601019565
6,0.144280207099859
17,0.307166061190423
26,0.250192602221388
33,0.364711523131467
30,0.288520264947321
37,0.261724799079355
38,0.463263577743433
13,0.466752888986375
16,0.248857881182339
9,0.453041684702504
22,0.30545872186264
31,0.430768913231324
19,0.300007368455175
1,0.210215773760341
16,0.487435769093223
8,0.299743997647427
12,0.331512406702619
15,0.179225559297949
16,0.29004570936691
15,0.137749764774926
30,0.175848957973532
40,0.366631625578273
32,0.419977926822379
33,0.332002383256797
12,0.34029670478357
38,0.339194706965238
39,0.445055858000647
2,0.218137865193654
20,0.241897263014689
5,0.110498813170474
24,0.286143260112032
29,0.222979674103204
3,0.42577674317034
20,0.470407487627119
14,0.358472679778002
4,0.15896451582294
42,0.138288304630201
8,0.220824566225987
42,0.22730685564084
24,0.143626226264983
25,0.103614998218603
43,0.450501557067968
2,0.1968145385799
25,0.403617224089801
26,0.195638934279792
23,0.459308801533189
5,0.252922737853602
3,0.480037536434364
8,0.379830545251258
31,0.293085063227452
28,0.392978855608031
20,0.410815261315554
42,0.498561130349524
6,0.352518489682116
